Altium Designer Pick and Place Locations
C:\Users\wange\Desktop\course work\sEMG_Gesture_Control\pcb\analog_breakout_IMU\Project Outputs for Free Documents\Pick Place\Pick Place for analog_breakout_IMU.csv

========================================================================================================================
File Design Information:

Date:       03/03/25
Time:       23:44
Revision:   2d9b32e4d71acc00ec3f2b5d97c52e43179fb2e6
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"U10","KSC3265YMTF","TopLayer","SOT-23_ONS","1.5240","11.1760","90","No Description Available"
"U9","KSC3265YMTF","TopLayer","SOT-23_ONS","-3.8100","11.1760","90","No Description Available"
"U8","CP2102N-A02-GQFN28","TopLayer","QFN50P500X500X80-29N","-2.1590","16.3830","270","USB Bridge, USB to UART USB 2.0 UART Interface 28-QFN (5x5)"
"R30","genRes","TopLayer","GeneralCap","3.3400","17.0180","0",""
"R29","genRes","TopLayer","GeneralCap","3.3400","18.2880","0",""
"R28","genRes","TopLayer","GeneralCap","-7.3660","17.0560","270",""
"R27","genRes","TopLayer","GeneralCap","-6.1340","20.0660","180",""
"R26","genRes","TopLayer","GeneralCap","-6.0960","17.8180","90",""
"C27","genCap","TopLayer","GeneralCap","-3.9370","21.1200","90",""
"SW1","PTS645SH50SMTR92LFS","TopLayer","PTS645S_SMTR92_CNK","10.1600","-5.9690","180","No Description Available"
"SW2","PTS645SH50SMTR92LFS","TopLayer","PTS645S_SMTR92_CNK","-7.2390","-6.0960","90","No Description Available"
"U7","ADC121S021CIMFXNOPB","TopLayer","DBV0006A_N","12.9540","1.1430","270","No Description Available"
"U6","OPA2990IDSGR","TopLayer","WSON8_DSG_TEX","6.9850","3.1750","0","No Description Available"
"R25","genRes","TopLayer","GeneralCap","4.3180","3.3400","90",""
"R24","genRes","TopLayer","GeneralCap","4.3180","-0.6730","270",""
"R23","genRes","TopLayer","GeneralCap","6.8200","1.2700","0",""
"R22","genRes","TopLayer","GeneralCap","6.8200","0.0000","0",""
"R21","genRes","TopLayer","GeneralCap","9.2710","4.9910","270",""
"R20","genRes","TopLayer","GeneralCap","10.6680","4.9910","90",""
"C25","genCap","TopLayer","GeneralCap","-11.9380","20.2820","270",""
"C24","genCap","TopLayer","GeneralCap","-12.3570","24.5110","180",""
"U5","TPS63021DSJR","TopLayer","IC_TPS63021DSJR","8.2550","26.1620","90","High Efficiency Single Inductor Buck-Boost Converter with 4A Switch  <a href="https://snapeda.com/parts/TPS63021DSJR/Texas%20Instruments/view-part/?ref=eda">Buy Part</a> <a href="https://snapeda.com/parts/TPS63021DSJR/Texas%20Instruments/view-part/?ref=eda">Check prices</a> <a href="https://snapeda.com/parts/TPS63021DSJR/Texas%20Instruments/view-part/?ref=eda">Check prices</a>"
"U4","ESP32-S3-WROOM-1-N16R2","TopLayer","XCVR_ESP32-S3-WROOM-1-N16R2","-0.0900","-21.4650","180","Bluetooth, WiFi 802.11b/g/n, Bluetooth v5.0 Transceiver Module 2.4GHz PCB Trace Surface Mount"
